,Name,cost,salary
196,Spain,1.59,1746.08
197,Sri Lanka,0.69,132.75
198,Sudan,0.84,104.89
199,Suriname,0.77,207.0
200,Swaziland,1.0,855.9
201,Sweden,2.0,2750.57
202,Switzerland,1.82,5747.89
203,Syria,0.88,58.82
204,Taiwan,1.01,1404.05
205,Tajikistan,0.8,135.36
206,Tanzania,1.07,206.47
207,Thailand,1.23,515.62
208,Timor-Leste,0.96,283.33
209,Togo,0.84,535.07
210,Tonga,0.98,1001.28
211,Trinidad And Tobago,0.82,840.42
212,Tunisia,0.7,282.62
213,Turkey,1.32,329.01
214,Turkmenistan,0.43,542.52
215,Turks And Caicos Islands,1.41,2888.89
216,Tuvalu,???,3543.16
217,Uganda,1.16,148.91
218,Ukraine,1.06,511.19
219,United Arab Emirates,0.83,3505.95
220,United Kingdom,1.91,2850.9
221,United States,0.99,3622.18
222,Uruguay,1.69,685.4
223,Us Virgin Islands,0.91,2516.67
224,Uzbekistan,0.83,256.88
225,Vanuatu,1.38,851.69
226,Vatican City,2.01,???
227,Venezuela,0.51,201.54
228,Vietnam,1.13,434.56
229,Western Sahara,0.95,210.59
230,Yemen,1.68,285.75
231,Zambia,1.23,630.61
232,Zimbabwe,1.35,296.78
