,Title,Date,From Airport,To Airport,Stops,Total Duration [Hours],Economy Flex [JOD],Business Plus [JOD],0_takeoff-location,0_takeoff-loc,0_landing-location,0_landing-loc,0_departure-time,0_arrival-time,0_flight-duration [Hours],1_stop-duration [Hours],2_takeoff-location,2_takeoff-loc,2_landing-location,2_landing-loc,2_departure-time,2_arrival-time,2_flight-duration [Hours],Economy Plus [JOD]
10,Amman - San Francisco, Thursday 27 July,Queen Alia (AMM),San Francisco International (SFO),1,22.23,1407.85,2032.15,Queen Alia,AMM,John F. Kennedy International,JFK,12:15,17:05,11.83,3.58,John F. Kennedy International,JFK,San Francisco International,SFO,20:40,00:29,6.82,
11,Amman - San Francisco, Friday 28 July,Queen Alia (AMM),San Francisco International (SFO),1,22.23,1994.85,2032.15,Queen Alia,AMM,John F. Kennedy International,JFK,12:15,17:05,11.83,3.58,John F. Kennedy International,JFK,San Francisco International,SFO,20:40,00:29,6.82,
12,Amman - San Francisco, Friday 28 July,Queen Alia (AMM),San Francisco International (SFO),1,22.23,1994.85,2032.15,Queen Alia,AMM,John F. Kennedy International,JFK,12:15,17:05,11.83,3.58,John F. Kennedy International,JFK,San Francisco International,SFO,20:40,00:29,6.82,
13,Amman - San Francisco, Saturday 29 July,Queen Alia (AMM),San Francisco International (SFO),1,22.23,1979.85,,Queen Alia,AMM,John F. Kennedy International,JFK,12:15,17:05,11.83,3.58,John F. Kennedy International,JFK,San Francisco International,SFO,20:40,00:29,6.82,
14,Amman - San Francisco, Sunday 30 July,Queen Alia (AMM),San Francisco International (SFO),1,21.43,1979.85,,Queen Alia,AMM,O Hare International,ORD,11:35,16:10,12.58,4.25,O Hare International,ORD,San Francisco International,SFO,20:25,23:01,4.6,
15,Amman - San Francisco, Sunday 30 July,Queen Alia (AMM),San Francisco International (SFO),1,22.23,1979.85,2157.05,Queen Alia,AMM,John F. Kennedy International,JFK,12:15,17:05,11.83,3.58,John F. Kennedy International,JFK,San Francisco International,SFO,20:40,00:29,6.82,
16,Amman - San Francisco, Sunday 30 July,Queen Alia (AMM),San Francisco International (SFO),1,30.77,,2157.05,Queen Alia,AMM,O Hare International,ORD,02:15,06:50,12.58,13.58,O Hare International,ORD,San Francisco International,SFO,20:25,23:01,4.6,
17,Amman - San Francisco, Sunday 30 July,Queen Alia (AMM),San Francisco International (SFO),1,38.93,1979.85,,Queen Alia,AMM,O Hare International,ORD,11:35,16:10,12.58,21.77,O Hare International,ORD,San Francisco International,SFO,13:56,16:31,4.58,
18,Amman - San Francisco, Monday 31 July,Queen Alia (AMM),San Francisco International (SFO),1,21.43,1979.85,,Queen Alia,AMM,O Hare International,ORD,11:35,16:10,12.58,4.25,O Hare International,ORD,San Francisco International,SFO,20:25,23:01,4.6,
19,Amman - San Francisco, Monday 31 July,Queen Alia (AMM),San Francisco International (SFO),1,22.23,1366.85,2017.15,Queen Alia,AMM,John F. Kennedy International,JFK,12:15,17:05,11.83,3.58,John F. Kennedy International,JFK,San Francisco International,SFO,20:40,00:29,6.82,
20,Amman - San Francisco, Monday 31 July,Queen Alia (AMM),San Francisco International (SFO),1,24.27,1979.85,,Queen Alia,AMM,O Hare International,ORD,02:15,06:50,12.58,7.1,O Hare International,ORD,San Francisco International,SFO,13:56,16:31,4.58,
21,Amman - San Francisco, Monday 31 July,Queen Alia (AMM),San Francisco International (SFO),1,30.77,1979.85,,Queen Alia,AMM,O Hare International,ORD,02:15,06:50,12.58,13.58,O Hare International,ORD,San Francisco International,SFO,20:25,23:01,4.6,
22,Amman - San Francisco, Tuesday 01 August,Queen Alia (AMM),San Francisco International (SFO),1,21.43,1979.85,,Queen Alia,AMM,O Hare International,ORD,11:35,16:10,12.58,4.25,O Hare International,ORD,San Francisco International,SFO,20:25,23:01,4.6,
23,Amman - San Francisco, Tuesday 01 August,Queen Alia (AMM),San Francisco International (SFO),1,22.23,1979.85,2157.05,Queen Alia,AMM,John F. Kennedy International,JFK,12:15,17:05,11.83,3.58,John F. Kennedy International,JFK,San Francisco International,SFO,20:40,00:29,6.82,
24,Amman - San Francisco, Wednesday 02 August,Queen Alia (AMM),San Francisco International (SFO),1,21.43,1979.85,,Queen Alia,AMM,O Hare International,ORD,11:35,16:10,12.58,4.25,O Hare International,ORD,San Francisco International,SFO,20:25,23:01,4.6,
25,Amman - San Francisco, Wednesday 02 August,Queen Alia (AMM),San Francisco International (SFO),1,22.23,1979.85,2157.05,Queen Alia,AMM,John F. Kennedy International,JFK,12:15,17:05,11.83,3.58,John F. Kennedy International,JFK,San Francisco International,SFO,20:40,00:29,6.82,
26,Amman - San Francisco, Thursday 03 August,Queen Alia (AMM),San Francisco International (SFO),1,22.23,1994.85,2032.15,Queen Alia,AMM,John F. Kennedy International,JFK,12:15,17:05,11.83,3.58,John F. Kennedy International,JFK,San Francisco International,SFO,20:40,00:29,6.82,
27,Amman - San Francisco, Friday 04 August,Queen Alia (AMM),San Francisco International (SFO),1,21.42,1994.85,,Queen Alia,AMM,O Hare International,ORD,11:35,16:10,12.58,4.25,O Hare International,ORD,San Francisco International,SFO,20:25,23:00,4.58,
28,Amman - San Francisco, Friday 04 August,Queen Alia (AMM),San Francisco International (SFO),1,21.97,1994.85,2172.05,Queen Alia,AMM,John F. Kennedy International,JFK,12:15,17:05,11.83,3.42,John F. Kennedy International,JFK,San Francisco International,SFO,20:30,00:13,6.72,
29,Amman - San Francisco, Friday 04 August,Queen Alia (AMM),San Francisco International (SFO),1,38.73,1994.85,,Queen Alia,AMM,O Hare International,ORD,11:35,16:10,12.58,21.6,O Hare International,ORD,San Francisco International,SFO,13:46,16:19,4.55,
